PERSON_ID,NAO_IS_OPPONENT,GAME_DIFFICULTY,moves,winner,advice_given,advice_asked,advice_followed,advice_not_followed,recommended_moves,played_moves_after_recommendation
8,1,1,17,Computer,0,0,0,0,[],[]
8,1,2,38,Computer,0,0,0,0,[],[]
8,1,3,58,Computer,0,0,0,0,[],[]
8,1,4,83,Computer,0,0,0,0,[],[]
8,1,5,97,Computer,0,0,0,0,[],[]
8,0,1,12,Player,2,1,2,0,"[3, 2]","[3, 2]"
8,0,2,19,Player,2,1,2,0,"[3, 2]","[3, 2]"
8,0,3,35,Computer,4,2,4,0,"[3, 2, 4, 3]","[3, 2, 4, 3]"
8,0,4,50,Computer,7,4,7,0,"[3, 2, 4, 3, 2, 3, 1]","[3, 2, 4, 3, 2, 3, 1]"
8,0,5,82,Player,13,8,13,0,"[3, 2, 4, 3, 2, 3, 1, 2, 4, 1, 1, 0, 6]","[3, 2, 4, 3, 2, 3, 1, 2, 4, 1, 1, 0, 6]"
