PERSON_ID,NAO_IS_OPPONENT,GAME_DIFFICULTY,moves,winner,advice_given,advice_asked,advice_followed,advice_not_followed,recommended_moves,played_moves_after_recommendation
16,1,1,21,Computer,0,0,0,0,[],[]
16,1,2,52,Computer,0,0,0,0,[],[]
16,1,3,68,Computer,0,0,0,0,[],[]
16,1,4,84,Computer,0,0,0,0,[],[]
16,1,5,93,Computer,0,0,0,0,[],[]
16,0,1,16,Player,6,5,5,0,"[2, 2, 3, 3, 4, 6]","[2, 3, 3, 2, 4, 6]"
16,0,2,45,Player,13,11,12,0,"[2, 2, 3, 3, 4, 6, 3, 3, 6, 4, 4, 5, 1]","[2, 3, 3, 2, 4, 6, 3, 3, 6, 4, 4, 5, 1]"
16,0,3,76,Computer,15,11,14,0,"[2, 2, 3, 3, 4, 6, 3, 3, 6, 4, 4, 5, 1, 2, 0]","[2, 3, 3, 2, 4, 6, 3, 3, 6, 4, 4, 5, 1, 2, 0]"
16,0,4,96,Computer,17,12,16,0,"[2, 2, 3, 3, 4, 6, 3, 3, 6, 4, 4, 5, 1, 2, 0, 3, 0]","[2, 3, 3, 2, 4, 6, 3, 3, 6, 4, 4, 5, 1, 2, 0, 3, 0]"
16,0,5,131,Computer,27,19,26,0,"[2, 2, 3, 3, 4, 6, 3, 3, 6, 4, 4, 5, 1, 2, 0, 3, 0, 1, 1, 4, 3, 4, 0, 0, 0, 1, 6]","[2, 3, 3, 2, 4, 6, 3, 3, 6, 4, 4, 5, 1, 2, 0, 3, 0, 1, 1, 4, 3, 4, 0, 0, 0, 1, 6]"
