PERSON_ID;NAO_IS_OPPONENT;moves;player_wins;player_score;computer_wins;computer_score;advice_given;advice_asked;advice_followed;advice_not_followed;recommended_moves;played_moves_after_recommendation;Geslacht;Leeftijd;Ik vond het spel het leukst op moeilijkheidsgraad;De Nao maakte het spel leuker;Zonder Nao had ik het spel even leuk gevonden;Nao is een vriendje;Ik voel me op mijn gemak als ik met Nao ben;Nao en ik zijn vriendjes aan het worden;Nao en ik passen goed bij elkaar;Nao voelt als een vriendje voor mij;Ik heb het gevoel dat ik Nao kan vertrouwen;Ik heb het gevoel dat Nao een geheim van mij kan bewaren;Ik heb het gevoel dat Nao eerlijk is;Ik heb het gevoel dat Nao te vertrouwen is;Als ik in de problemen zat zou ik op Nao kunnen rekenen;Als ik in de problemen zat zou Nao mij willen helpen;Als ik in de problemen zat zou Nao voor mij opkomen;Als ik in de problemen zat zou Nao mij opvrolijken
17;0;86;0;0;5;15;7;0;2;5;[5, 0, 0, 2, 1, 2, 2];[6, 0, 6, 2, 3, 6, 0];v;24;1;1;3;2;2;2;2;2;1;4;4;4;2;2;2;2
17;1;74;0;0;5;15;0;0;0;0;[];[];v;24;5;1;5;2;2;2;2;2;3;3;4;4;2;2;2;2
18;1;109;0;0;5;15;0;0;0;0;[];[];v;21;1;4;2;3;5;4;3;2;4;2;4;4;2;3;3;4
18;0;83;2;3;3;12;12;7;9;3;[1, 1, 4, 3, 0, 3, 3, 3, 1, 6, 1, 0];[1, 1, 4, 2, 4, 5, 3, 3, 1, 6, 1, 0];v;21;3;5;2;4;5;4;2;4;2;3;4;4;3;4;4;4
19;0;125;3;7;2;8;37;30;25;7;[3, 3, 2, 0, 2, 3, 3, 2, 2, 2, 2, 6, 6, 6, 6, 0, 0, 0, 1, 4, 4, 1, 1, 2, 3, 3, 1, 3, 0, 0, 0, 2, 2, 4, 4, 5, 4];[3, 1, 2, 0, 2, 3, 3, 2, 2, 6, 6, 6, 6, 0, 0, 0, 4, 4, 4, 1, 1, 1, 5, 1, 3, 1, 4, 1, 0, 0, 0, 2, 2, 5, 5, 5, 5];m;23;3;2;4;2;4;3;1;3;1;3;2;2;2;5;4;3
19;1;145;2;5;2;8;0;3;0;0;[];[];m;23;4;1;5;1;1;2;1;2;1;4;4;4;3;3;1;2
20;1;70;1;1;4;14;0;0;0;0;[];[];m;25;3;5;1;1;3;3;3;2;3;3;5;4;2;3;3;4
20;0;108;0;0;5;15;14;8;11;2;[3, 3, 0, 1, 2, 6, 4, 2, 2, 3, 2, 2, 3, 3];[3, 3, 0, 1, 5, 5, 4, 2, 5, 3, 2, 2, 3, 3];m;25;2;5;1;2;4;2;2;1;3;3;5;3;1;1;1;1
21;0;138;0;0;5;15;12;3;10;2;[2, 2, 0, 0, 0, 1, 5, 2, 3, 0, 2, 3];[2, 2, 0, 6, 0, 1, 5, 4, 3, 0, 2, 3];m;26;2;4;2;4;3;4;3;3;3;4;4;4;2;4;3;4
21;1;95;2;3;3;12;0;0;0;0;[];[];m;26;3;4;2;4;4;3;4;4;2;2;3;4;3;3;3;4
