PERSON_ID,NAO_IS_OPPONENT,GAME_DIFFICULTY,moves,winner,advice_given,advice_asked,advice_followed,advice_not_followed,recommended_moves,played_moves_after_recommendation
7,0,1,12,Player,1,0,1,0,[1],[1]
7,0,2,46,Computer,2,0,2,0,"[1, 4]","[1, 4]"
7,0,3,85,Player,5,0,5,0,"[1, 4, 3, 2, 1]","[1, 4, 3, 2, 1]"
7,0,4,113,Computer,6,0,5,1,"[1, 4, 3, 2, 1, 2]","[1, 4, 3, 2, 1, 5]"
7,0,5,136,Computer,7,0,6,1,"[1, 4, 3, 2, 1, 2, 2]","[1, 4, 3, 2, 1, 5, 2]"
7,1,1,7,Player,0,0,0,0,[],[]
7,1,2,14,Player,0,0,0,0,[],[]
7,1,3,28,Computer,0,0,0,0,[],[]
7,1,4,60,Computer,0,0,0,0,[],[]
7,1,5,89,Computer,0,0,0,0,[],[]
