PERSON_ID,NAO_IS_OPPONENT,GAME_DIFFICULTY,moves,winner,advice_given,advice_asked,advice_followed,advice_not_followed,recommended_moves,played_moves_after_recommendation
14,1,1,13,Computer,0,0,0,0,[],[]
14,1,2,24,Computer,0,0,0,0,[],[]
14,1,3,37,Computer,0,0,0,0,[],[]
14,1,4,48,Computer,0,0,0,0,[],[]
14,1,5,72,Computer,0,0,0,0,[],[]
14,0,1,18,Player,1,0,1,0,[0],[0]
14,0,2,31,Computer,4,2,3,0,"[0, 1, 0, 0]","[0, 1, 0]"
14,0,3,42,Computer,4,2,3,0,"[0, 1, 0, 0]","[0, 1, 0, 0]"
14,0,4,62,Computer,5,2,4,0,"[0, 1, 0, 0, 3]","[0, 1, 0, 0, 3]"
14,0,5,81,Computer,7,3,6,0,"[0, 1, 0, 0, 3, 2, 1]","[0, 1, 0, 0, 3, 2, 1]"
