PERSON_ID,NAO_IS_OPPONENT,GAME_DIFFICULTY,moves,winner,advice_given,advice_asked,advice_followed,advice_not_followed,recommended_moves,played_moves_after_recommendation
9,0,1,17,Computer,1,0,1,0,[0],[0]
9,0,2,49,Computer,3,0,2,1,"[0, 4, 0]","[0, 4, 6]"
9,0,3,72,Player,5,0,3,2,"[0, 4, 0, 0, 0]","[0, 4, 6, 0, 3]"
9,0,4,94,Computer,6,0,3,3,"[0, 4, 0, 0, 0, 0]","[0, 4, 6, 0, 3, 2]"
9,0,5,107,Computer,7,0,3,4,"[0, 4, 0, 0, 0, 0, 1]","[0, 4, 6, 0, 3, 2, 3]"
9,1,1,22,Player,0,0,0,0,[],[]
9,1,2,54,Computer,0,0,0,0,[],[]
9,1,3,93,Player,0,0,0,0,[],[]
9,1,4,115,Computer,0,0,0,0,[],[]
9,1,5,131,Computer,0,0,0,0,[],[]
