PERSON_ID,NAO_IS_OPPONENT,GAME_DIFFICULTY,moves,winner,advice_given,advice_asked,advice_followed,advice_not_followed,recommended_moves,played_moves_after_recommendation
15,0,1,21,Computer,3,1,2,1,"[3, 3, 6]","[3, 3, 5]"
15,0,2,28,Player,3,1,2,1,"[3, 3, 6]","[3, 3, 5]"
15,0,3,57,Computer,5,1,2,3,"[3, 3, 6, 2, 0]","[3, 3, 5, 3, 2]"
15,0,4,72,Computer,6,1,2,4,"[3, 3, 6, 2, 0, 1]","[3, 3, 5, 3, 2, 4]"
15,0,5,87,Computer,7,1,3,4,"[3, 3, 6, 2, 0, 1, 1]","[3, 3, 5, 3, 2, 4, 1]"
15,1,1,7,Player,0,0,0,0,[],[]
15,1,2,14,Player,0,0,0,0,[],[]
15,1,3,37,Computer,0,0,0,0,[],[]
15,1,4,48,Computer,0,0,0,0,[],[]
15,1,5,65,Computer,0,0,0,0,[],[]
