PERSON_ID,NAO_IS_OPPONENT,GAME_DIFFICULTY,moves,winner,advice_given,advice_asked,advice_followed,advice_not_followed,recommended_moves,played_moves_after_recommendation
19,0,1,9,Player,4,4,1,2,"[3, 3, 2, 0]","[3, 1, 2, 0]"
19,0,2,49,Player,23,20,17,3,"[3, 3, 2, 0, 2, 3, 3, 2, 2, 2, 2, 6, 6, 6, 6, 0, 0, 0, 1, 4, 4, 1, 1]","[3, 1, 2, 0, 2, 3, 3, 2, 2, 6, 6, 6, 6, 0, 0, 0, 4, 4, 4, 1, 1, 1, 5]"
19,0,3,65,Computer,24,20,17,4,"[3, 3, 2, 0, 2, 3, 3, 2, 2, 2, 2, 6, 6, 6, 6, 0, 0, 0, 1, 4, 4, 1, 1, 2]","[3, 1, 2, 0, 2, 3, 3, 2, 2, 6, 6, 6, 6, 0, 0, 0, 4, 4, 4, 1, 1, 1, 5, 1]"
19,0,4,90,Player,31,26,22,5,"[3, 3, 2, 0, 2, 3, 3, 2, 2, 2, 2, 6, 6, 6, 6, 0, 0, 0, 1, 4, 4, 1, 1, 2, 3, 3, 1, 3, 0, 0, 0]","[3, 1, 2, 0, 2, 3, 3, 2, 2, 6, 6, 6, 6, 0, 0, 0, 4, 4, 4, 1, 1, 1, 5, 1, 3, 1, 4, 1, 0, 0, 0]"
19,0,5,125,Computer,37,30,25,7,"[3, 3, 2, 0, 2, 3, 3, 2, 2, 2, 2, 6, 6, 6, 6, 0, 0, 0, 1, 4, 4, 1, 1, 2, 3, 3, 1, 3, 0, 0, 0, 2, 2, 4, 4, 5, 4]","[3, 1, 2, 0, 2, 3, 3, 2, 2, 6, 6, 6, 6, 0, 0, 0, 4, 4, 4, 1, 1, 1, 5, 1, 3, 1, 4, 1, 0, 0, 0, 2, 2, 5, 5, 5, 5]"
19,1,1,7,Player,0,0,0,0,[],[]
19,1,2,49,,0,3,0,0,[],[]
19,1,3,75,Computer,0,3,0,0,[],[]
19,1,4,111,Player,0,3,0,0,[],[]
19,1,5,145,Computer,0,3,0,0,[],[]
