PERSON_ID,NAO_IS_OPPONENT,GAME_DIFFICULTY,moves,winner,advice_given,advice_asked,advice_followed,advice_not_followed,recommended_moves,played_moves_after_recommendation
17,0,1,21,Computer,2,0,1,1,"[5, 0]","[6, 0]"
17,0,2,36,Computer,3,0,1,2,"[5, 0, 0]","[6, 0, 6]"
17,0,3,45,Computer,3,0,1,2,"[5, 0, 0]","[6, 0, 6]"
17,0,4,67,Computer,5,0,2,3,"[5, 0, 0, 2, 1]","[6, 0, 6, 2, 3]"
17,0,5,86,Computer,7,0,2,5,"[5, 0, 0, 2, 1, 2, 2]","[6, 0, 6, 2, 3, 6, 0]"
17,1,1,11,Computer,0,0,0,0,[],[]
17,1,2,26,Computer,0,0,0,0,[],[]
17,1,3,44,Computer,0,0,0,0,[],[]
17,1,4,67,Computer,0,0,0,0,[],[]
17,1,5,74,Computer,0,0,0,0,[],[]
