PERSON_ID,NAO_IS_OPPONENT,GAME_DIFFICULTY,moves,winner,advice_given,advice_asked,advice_followed,advice_not_followed,recommended_moves,played_moves_after_recommendation
18,1,1,39,Computer,0,0,0,0,[],[]
18,1,2,58,Computer,0,0,0,0,[],[]
18,1,3,83,Computer,0,0,0,0,[],[]
18,1,4,92,Computer,0,0,0,0,[],[]
18,1,5,109,Computer,0,0,0,0,[],[]
18,0,1,7,Player,0,0,0,0,[],[]
18,0,2,14,Player,1,0,1,0,[1],[1]
18,0,3,35,Computer,5,3,3,2,"[1, 1, 4, 3, 0]","[1, 1, 4, 2, 4]"
18,0,4,71,Computer,12,7,9,3,"[1, 1, 4, 3, 0, 3, 3, 3, 1, 6, 1, 0]","[1, 1, 4, 2, 4, 5, 3, 3, 1, 6, 1, 0]"
18,0,5,83,Computer,12,7,9,3,"[1, 1, 4, 3, 0, 3, 3, 3, 1, 6, 1, 0]","[1, 1, 4, 2, 4, 5, 3, 3, 1, 6, 1, 0]"
