PERSON_ID,NAO_IS_OPPONENT,GAME_DIFFICULTY,moves,winner,advice_given,advice_asked,advice_followed,advice_not_followed,recommended_moves,played_moves_after_recommendation
21,0,1,31,Computer,5,3,4,1,"[2, 2, 0, 0, 0]","[2, 2, 0, 6, 0]"
21,0,2,68,Computer,7,3,6,1,"[2, 2, 0, 0, 0, 1, 5]","[2, 2, 0, 6, 0, 1, 5]"
21,0,3,97,Computer,10,3,8,2,"[2, 2, 0, 0, 0, 1, 5, 2, 3, 0]","[2, 2, 0, 6, 0, 1, 5, 4, 3, 0]"
21,0,4,116,Computer,11,3,9,2,"[2, 2, 0, 0, 0, 1, 5, 2, 3, 0, 2]","[2, 2, 0, 6, 0, 1, 5, 4, 3, 0, 2]"
21,0,5,138,Computer,12,3,10,2,"[2, 2, 0, 0, 0, 1, 5, 2, 3, 0, 2, 3]","[2, 2, 0, 6, 0, 1, 5, 4, 3, 0, 2, 3]"
21,1,1,7,Player,0,0,0,0,[],[]
21,1,2,33,Player,0,0,0,0,[],[]
21,1,3,46,Computer,0,0,0,0,[],[]
21,1,4,79,Computer,0,0,0,0,[],[]
21,1,5,95,Computer,0,0,0,0,[],[]
