PERSON_ID,NAO_IS_OPPONENT,GAME_DIFFICULTY,moves,winner,advice_given,advice_asked,advice_followed,advice_not_followed,recommended_moves,played_moves_after_recommendation
12,1,1,7,Player,0,0,0,0,[],[]
12,1,2,24,Computer,0,0,0,0,[],[]
12,1,3,47,Computer,0,0,0,0,[],[]
12,1,4,63,Computer,0,0,0,0,[],[]
12,1,5,75,Computer,0,0,0,0,[],[]
12,0,1,18,Player,1,0,1,0,[3],[3]
12,0,2,45,Player,3,0,3,0,"[3, 4, 0]","[3, 4, 0]"
12,0,3,58,Computer,3,0,3,0,"[3, 4, 0]","[3, 4, 0]"
12,0,4,73,Computer,5,0,4,1,"[3, 4, 0, 2, 4]","[3, 4, 0, 3, 4]"
12,0,5,94,Player,10,3,7,3,"[3, 4, 0, 2, 4, 2, 3, 2, 0, 0]","[3, 4, 0, 3, 4, 2, 3, 2, 1, 1]"
