PERSON_ID,NAO_IS_OPPONENT,GAME_DIFFICULTY,moves,winner,advice_given,advice_asked,advice_followed,advice_not_followed,recommended_moves,played_moves_after_recommendation
11,0,1,12,Player,1,0,1,0,[1],[1]
11,0,2,27,Computer,2,0,2,0,"[1, 2]","[1, 2]"
11,0,3,54,Computer,4,0,4,0,"[1, 2, 2, 0]","[1, 2, 2, 0]"
11,0,4,70,Computer,5,0,5,0,"[1, 2, 2, 0, 3]","[1, 2, 2, 0, 3]"
11,0,5,104,Computer,7,0,7,0,"[1, 2, 2, 0, 3, 4, 6]","[1, 2, 2, 0, 3, 4, 6]"
11,1,1,27,Computer,0,0,0,0,[],[]
11,1,2,61,Computer,0,0,0,0,[],[]
11,1,3,76,Computer,0,0,0,0,[],[]
11,1,4,116,Computer,0,0,0,0,[],[]
11,1,5,153,Computer,0,0,0,0,[],[]
