PERSON_ID,NAO_IS_OPPONENT,GAME_DIFFICULTY,moves,winner,advice_given,advice_asked,advice_followed,advice_not_followed,recommended_moves,played_moves_after_recommendation
13,0,1,16,Player,1,0,0,1,[4],[2]
13,0,2,36,Computer,3,0,2,1,"[4, 3, 0]","[2, 3, 0]"
13,0,3,60,Computer,5,0,4,1,"[4, 3, 0, 3, 3]","[2, 3, 0, 3, 3]"
13,0,4,79,Computer,6,0,4,2,"[4, 3, 0, 3, 3, 0]","[2, 3, 0, 3, 3, 1]"
13,0,5,93,Computer,6,0,4,2,"[4, 3, 0, 3, 3, 0]","[2, 3, 0, 3, 3, 1]"
13,1,1,15,Computer,0,0,0,0,[],[]
13,1,2,22,Player,0,0,0,0,[],[]
13,1,3,54,Computer,0,0,0,0,[],[]
13,1,4,71,Computer,0,0,0,0,[],[]
13,1,5,97,Computer,0,0,0,0,[],[]
