PERSON_ID,NAO_IS_OPPONENT,GAME_DIFFICULTY,moves,winner,advice_given,advice_asked,advice_followed,advice_not_followed,recommended_moves,played_moves_after_recommendation
6,1,1,7,Computer,0,0,0,0,[],[]
6,1,2,20,Computer,0,0,0,0,[],[]
6,1,3,43,Computer,0,0,0,0,[],[]
6,1,4,71,Computer,0,0,0,0,[],[]
6,1,5,98,Computer,0,0,0,0,[],[]
6,0,1,15,Computer,12,11,2,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4]","[2, 3, 2, 4, 4, 0, 1]"
6,0,2,53,Player,15,11,4,1,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 5, 6]","[2, 3, 2, 4, 4, 0, 1, 4, 3, 6, 4, 4, 1, 6, 6]"
6,0,3,68,Computer,15,11,4,1,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 5, 6]","[2, 3, 2, 4, 4, 0, 1, 4, 3, 6, 4, 4, 1, 6, 6]"
6,0,4,105,Computer,18,11,6,2,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 5, 6, 2, 1, 1]","[2, 3, 2, 4, 4, 0, 1, 4, 3, 6, 4, 4, 1, 6, 6, 4, 1, 1]"
6,0,5,121,Computer,19,11,6,3,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 5, 6, 2, 1, 1, 3]","[2, 3, 2, 4, 4, 0, 1, 4, 3, 6, 4, 4, 1, 6, 6, 4, 1, 1, 4]"
