PERSON_ID,NAO_IS_OPPONENT,GAME_DIFFICULTY,moves,winner,advice_given,advice_asked,advice_followed,advice_not_followed,recommended_moves,played_moves_after_recommendation
20,1,1,8,Player,0,0,0,0,[],[]
20,1,2,30,Computer,0,0,0,0,[],[]
20,1,3,50,Computer,0,0,0,0,[],[]
20,1,4,63,Computer,0,0,0,0,[],[]
20,1,5,70,Computer,0,0,0,0,[],[]
20,0,1,33,Computer,5,3,4,1,"[3, 3, 0, 1, 2]","[3, 3, 0, 1, 5]"
20,0,2,53,Computer,6,3,4,2,"[3, 3, 0, 1, 2, 6]","[3, 3, 0, 1, 5, 5]"
20,0,3,73,Computer,7,3,5,2,"[3, 3, 0, 1, 2, 6, 4]","[3, 3, 0, 1, 5, 5, 4]"
20,0,4,93,Computer,10,5,7,2,"[3, 3, 0, 1, 2, 6, 4, 2, 2, 3]","[3, 3, 0, 1, 5, 5, 4, 2, 5, 3]"
20,0,5,108,Computer,14,8,11,2,"[3, 3, 0, 1, 2, 6, 4, 2, 2, 3, 2, 2, 3, 3]","[3, 3, 0, 1, 5, 5, 4, 2, 5, 3, 2, 2, 3, 3]"
